kljuc_igre,kljuc_razvijalca,razvijalec
1,6661,Bungie
292,6662,Crytek
6908,6666,Namco
300,6668,Ubisoft Montreal
910,6669,Irrational Games
616,66610,Visceral Games
4545,66611,Capcom
15,66612,Reflections Interactive
35,66613,Square Enix
567,66614,Squaresoft
22,66617,Clover Studio
6314,66619,Secret Level
972,66620,Codemasters
26,66621,Rockstar North
6142,66623,Ninja Theory
177,66624,BioWare
31,66626,Grasshopper Manufacture
32,66627,Guerrilla Games
4843,66630,Hudson Soft
538,66631,Konami
42,66632,Kojima Productions
529,66636,Team Ninja
882,66637,Ubisoft
388,66642,Iguana Entertainment
4633,66643,Naughty Dog
69,66644,Creative Assembly
2189,66645,Funcom
1,66646,Gearbox Software
5715,66648,Criterion Games
19170,66649,MercurySteam
89,66651,Electronic Arts Los Angeles
83,66654,Bethesda Game Studios
6341,66657,Bizarre Creations
93,66658,Radical Entertainment
94,66659,Insomniac Games
623,66661,Treyarch
875,66662,GSC Game World
295,66666,Relic
3707,66668,Sega
2408,66678,DMA Design
887,66684,Blizzard Entertainment
145,66685,Infinity Ward
156,66690,4A Games
14348,66691,Omega Force
13518,66695,Cyanide
9464,66698,Rocksteady Studios
766,66699,Rockstar Games
3406,666104,Data East
12246,666106,TOSE
125373,666110,SNK
4033,666112,Midway Games
2295,666114,Black Isle Studios
235,666120,Rare
5982,666121,Midway
732,666128,Electronic Arts
378,666131,Angel Studios
33439,666140,Acclaim Entertainment
494,666147,Realtime Associates
5173,666149,Bits Studios
5192,666151,Rebellion
294,666152,Obsidian Entertainment
301,666155,Quantic Dream
1048,666158,Software Creations
223,666161,Interplay Productions
10764,666163,Chunsoft
5783,666171,Tecmo
31652,666174,Activision
737,666184,id Software
1038,666185,Saffire
5135,666190,Luxoflux
3410,666194,Smilebit
4524,666197,Overworks
7677,666199,Genki
14553,666203,Koei
12986,666213,NuFX
7655,666226,Bethesda Softworks
10865,666230,Gremlin Interactive
536,666231,Crystal Dynamics
472,666232,Darkworks
4515,666240,Black Ops Entertainment
11369,666244,UEP Systems
5974,666246,N-Space
509,666250,Polygon Magic
8582,666251,Psygnosis
3477,666256,Climax Entertainment
20775,666261,Hexa Drive
8976,666264,Atlus
13542,666273,Sony Computer Entertainment
11299,666277,Any Channel
574,666278,Lobotomy Software
3943,666280,Red Storm Entertainment
3118,666281,Avalanche Software
117819,666282,Nippon Ichi Software
6691,666283,Neversoft
622,666296,Monolith Productions
3959,666298,Monolith
71434,666299,2K Games
628,666311,Sculptured Software
739,666314,Bullfrog Productions
4848,666327,Digital Pictures
10440,666330,Firaxis Games
108,666331,Relic Entertainment
20,666332,Epic Games
5730,666334,Digital Anvil
4186,666335,Massive Entertainment
756,666336,Remedy Entertainment
758,666337,Illusion Softworks
769,666340,Volition
770,666341,Croteam
5779,666342,Lionhead Studios
792,666346,Pandemic
793,666347,Raven
7995,666351,Blue Castle Games
812,666355,Techland
3987,666356,Terminal Reality
5781,666357,High Voltage Software
818,666358,GRIN
4205,666360,Ubisoft Shanghai
622,666363,TimeGate Studios
5093,666364,Deadline Games
838,666369,Mercury Steam
840,666370,Raven Software
844,666372,Replay Studios
2482,666373,Frozenbyte
856,666375,Vigil Games
4037,666377,Gas Powered Games
5762,666383,High Moon Studios
884,666387,People Can Fly
7992,666390,Eidos Montreal
10305,666391,Ubisoft Montpellier
12001,666392,WizarBox
895,666393,Amuze
903,666396,Klei Entertainment
906,666397,2K Czech
7164,666399,City Interactive
5027,666403,Beenox
29239,666407,3D Realms
497,666409,Probe Entertainment
5107,666412,Appaloosa Interactive
2297,666419,Probe Software
2286,666442,Human Entertainment
4559,666460,VIS Entertainment
7731,666475,Titus France
5774,666480,Vicarious Visions
7661,666494,Snowblind Studios
12497,666497,Eden Studios
13059,666542,Sir-Tech Software
2330,666551,Origin Systems
1061,666552,Eurocom Entertainment Software
14898,666575,Sumo Digital
15750,666590,Shiny Entertainment
14133,666595,Now Production
11417,666624,Mindscape
11454,666627,Grey Matter
4435,666630,Incredible Technologies
4340,666693,Sales Curve Interactive
4540,666701,Zipper Interactive
1064,666704,Acclaim Studios Salt Lake City
3473,666729,Jaleco Entertainment
117548,666737,Arc System Works
10402,666738,Hothead Games
5713,666747,Eutechnyx
6980,666751,Game Republic
6872,666752,Realtime Worlds
11389,666753,Millennium Interactive
2160,666754,JAM Productions
8704,666765,Big Huge Games
117962,666773,Inti Creates
3743,666782,WOW Entertainment
380,666785,Tantalus Interactive
2117,666792,Piranha Bytes
2342,666793,Kaos Studios
21931,666796,Bohemia Interactive Studio
8729,666797,Eden Games
2465,666798,DiCE
10579,666802,Sierra On-Line
71735,666823,Revolution Software
2489,666824,Frictional Games
830,666832,FromSoftware
14918,666837,Trion Worlds
10483,666839,Spicy Horse
15639,666842,Haemimont Games
2481,666846,8monkey Labs
23275,666857,Argonaut Software
6996,666861,Red Entertainment
23243,666862,Artech Digital Entertainment
10187,666876,Gray Matter
1094,666883,Kotobuki System
2771,666897,Raster
3993,666914,Pandemic Studios
5304,666930,Neverland
17559,666933,Next Level Games
11798,666938,Williams Entertainment
5033,666941,Aspyr
8027,666948,Interplay Entertainment
12478,666959,Visual Impact
5625,666961,Blitz Games
6776,666969,Griptonite Games
7042,6661001,7 Studios
3580,6661017,Digital Eclipse Software
13302,6661029,Red Storm
3428,6661033,343 Industries
9273,6661045,Capcom Production Studio 3
3602,6661052,Starbreeze Studios
1094,6661053,Ion Storm
3668,6661071,Day 1 Studios
3692,6661081,Vatra
11556,6661082,Access Games
3706,6661086,CS1 Team
803,6661090,Cavia
3731,6661091,Slant Six Games
790,6661101,Artoon
3647,6661109,Looking Glass Studios
8059,6661110,Neversoft Entertainment
19,6661114,Valve
3981,6661117,Sourcenext
8104,6661127,Spark Unlimited
4754,6661130,SEGA Interactive Development Division
4196,6661155,Mirage
626,6661157,Digital Extremes
10866,6661164,System Sacom
4336,6661182,Piranha Games
4337,6661183,Digitalo Studios
7058,6661210,The Collective
9446,6661213,Point of View
4596,6661214,Studio 3do
4601,6661224,Kirin Entertainment
4603,6661225,Imagexcel
4699,6661243,American Laser Games
4715,6661249,Headstrong Games
6354,6661252,Amaze Entertainment
6605,6661261,Other Ocean Interactive
4980,6661286,Human Head
11814,6661289,Telltale Games
11945,6661294,Electronic Arts Canada
5036,6661298,2015
5030,6661308,Rebellion Developments
5100,6661309,Argonaut Games
5121,6661315,Cranky Pants Games
105,6661317,Artificial Mind & Movement
5136,6661319,Volatile Games
118169,6661320,Backbone Entertainment
5141,6661322,Computer Artworks
7130,6661324,Konami Computer Entertainment Tokyo
7732,6661334,Bits Studio
7279,6661343,FASA Interactive
5214,6661348,Third Law Interactive
10320,6661359,The Creative Assembly
11512,6661367,TopWare Interactive
2157,6661368,Reality Pump Studios
5317,6661375,Brat Designs
31,6661376,Capcom Production Studio 4
34319,6661377,Hothouse Creations
12007,6661390,WayForward Technologies
5156,6661407,Kuju Entertainment
17806,6661420,Outrage Games
11952,6661425,Gust
869,6661435,Avalanche Studios
5786,6661436,Genuine Games
5661,6661438,Swordfish Studios
5662,6661439,Goshow
5751,6661441,Pivotal Games
9264,6661443,Z-Axis
381,6661444,Acclaim Studios Austin
5611,6661446,Creat Studios
48533,6661448,Playdead
8248,6661451,Planet Moon Studios
5624,6661453,Paradox Development
5796,6661460,Capcom Production Studio 2
12203,6661465,Human Head Studios
6907,6661466,WideScreen Games
5833,6661478,Hypnotix
5929,6661490,Wideload Games
6765,6661492,Free Radical Design
5941,6661493,Circle Studio
8390,6661501,Warthog
7861,6661522,Kaos
9728,6661541,Sierra
30241,6661570,Gameloft
822,6661573,Double Fine Productions
6301,6661574,Nihilistic Software
16398,6661576,Idea Factory
7161,6661579,SCE Studios San Diego
963,6661583,Saber Interactive
12556,6661585,Heavy Iron Studios
7616,6661586,Incognito Entertainment
6357,6661588,Team Bondi
6358,6661589,Eat Sleep Play
6497,6661638,Renegade Kid
21652,6661649,Most Wanted Entertainment
7259,6661650,Q Entertainment
3709,6661673,Silicon Knights
6357,6661683,Rockstar Leeds
5647,6661711,Ritual Entertainment
7746,6661718,Surreal Software
618,6661719,Nex Entertainment
5786,6661725,Visual Sciences
3770,6661738,Beyond Games
2192,6661745,Namco Hometek
7046,6661753,Warthog Games
7153,6661774,Team SOHO
41135,6661776,Sandlot
7333,6661784,Climax Studios
7299,6661793,Deep Silver Vienna
18789,6661797,Pipeworks Software
11962,6661820,Gaijin Entertainment
11903,6661837,inXile Entertainment
11101,6661841,Exor Studios
4736,6661845,Rockstar London
115644,6661848,Asobo Studio
9070,6661851,Eidetic
7606,6661862,Future Games
11953,6661863,Ubisoft Milan
13523,6661872,Tamsoft
8188,6661874,Headfirst Productions
33113,6661875,Light Weight
7678,6661877,Phantagram
8815,6661881,Hydravision
9593,6661885,Runecraft
7844,6661905,Danger Close
20611,6661915,Big Ape Productions
12087,6661927,Team17 Software
3991,6661932,Ubisoft Paris
6901,6661942,Telltale
8083,6661946,The Farm 51
8097,6661952,Creative Edge Studios
8106,6661955,Nicolas Games Intoxicate
8114,6661956,Teotl Studios
807,6661958,Mindware Studios
8126,6661959,Eggtooth Team
8131,6661961,Vogster Entertainment
57,6661963,Yuke's
8209,6661978,Deep Silver
11180,6661979,Sony Interactive Studios America
8250,6661986,Larian Studios
19371,6661988,Stunlock Studios
10363,6662006,Hidden Path Entertainment
8455,6662013,Phenomic
4983,6662020,Cauldron Ltd.
8558,6662030,Kylotonn
13533,6662035,Targem Games
8626,6662048,Rogue Entertainment
8651,6662056,Paleo Entertainment
182,6662075,Rockstar San Diego
8732,6662084,Hydravision Entertainment
5760,6662092,Asylum Entertainment
19464,6662094,Conspiracy Entertainment
8816,6662108,Ubisoft Tiwak
8820,6662109,Pterodon
8970,6662142,D-Dub
8980,6662143,07th Expansion
12164,6662151,Yager Development
12355,6662153,Zombie Studios
43912,6662158,The Chinese Room
90505,6662166,Pendulo Studios
9066,6662171,Asylum Studios
13993,6662180,Haggard Games
9098,6662182,Trapdoor
746,6662216,Crytek Studios
11138,6662218,Mesa Logic
9335,6662241,Topheavy
12296,6662250,Bungie Studios
9410,6662254,BottleRocket Entertainment
68005,6662265,Opus
11961,6662276,Ryu ga Gotoku Studio
9657,6662321,Refraction Games
5717,6662322,Mucky Foot Productions
16343,6662333,Cyclone Studios
9740,6662341,Strategic Simulations
30033,6662375,The 8th Day
11215,6662402,Massive Development
9995,6662403,United Front Games
9998,6662405,Ubisoft Toronto
6476,6662406,NetherRealm Studios
10128,6662418,GOD Games
7806,6662423,Warp
9428,6662426,Spike
4208,6662427,Metropolis Software
34433,6662438,11 bit studios
3753,6662448,Epic Megagames
10443,6662450,Arkane Studios
10343,6662462,Four Leaf Studios
913,6662468,CD Projekt RED
10401,6662477,Coreplay GmbH
33051,6662484,Housemarque
5395,6662485,Troika Games
18959,6662486,Airtight Games
10481,6662496,Parsec Productions
2353,6662499,Bohemia Interactive
10493,6662500,2 Dawn Games
46101,6662516,Sunstorm Interactive
10593,6662522,Rockstar Vancouver
10697,6662534,DONTNOD Entertainment
10711,6662537,Grinding Gear Games
12960,6662556,Success
124745,6662560,GungHo Online Entertainment
528,6662562,PlatinumGames
11111,6662601,Hoplite Research
11185,6662612,Tequila Works
107,6662623,Black Hole Entertainment
1141,6662629,Kalisto Entertainment
7764,6662643,EXAKT Entertainment
14133,6662672,Team Tachyon
11519,6662674,Zombie
12441,6662680,Liquid Entertainment
11626,6662697,Ruffian Games
125249,6662699,Shade
12306,6662716,Sacnoth
11790,6662725,Synthetic Dimensions
26245,6662741,Ubisoft Sofia
87177,6662746,Compile Heart
9863,6662748,Acquire
12067,6662754,Rockstar Toronto
12709,6662759,Sidhe Interactive
7324,6662762,Tiger Hill Entertainment
9004,6662773,Yager
51,6662786,Ubisoft Entertainment
16374,6662787,Spiders
7282,6662794,Cauldron
7722,6662831,Brainbox Games
18918,6662843,K2 LLC
11991,6662844,AQ Interactive
12760,6662853,House of Tales
31242,6662866,Reality Pump
14900,6662871,Kung Fu Factory
11262,6662892,Double Helix Games
13001,6662895,Illusion Software
2437,6662898,Ascaron Entertainment
13432,6662908,Frogwares
13319,6662947,Nixxes Software
8,6662948,Electronic Arts Montreal
4206,6662953,Ubi Soft Montreal
13348,6662959,Telltale Inc.
12866,6662961,Marvelous AQL
10705,6662964,feelplus
13437,6662968,Monolith Studios
23127,6662974,Dennaton Games
3327,6662975,Microids
100802,6663031,TNT Team
13797,6663033,Touchdown Entertainment
13834,6663039,Heuristic Park
13969,6663050,Enlight Software
13897,6663055,Crazy Games
14053,6663082,Rebel Act Studios
14117,6663093,Blueside
5572,6663095,Colossal Pictures
10215,6663106,Metropolis Software House
79350,6663178,Digital Reality
13368,6663192,Hyde
112128,6663198,Certain Affinity
15199,6663225,Unknown Worlds Entertainment
626,6663230,2K China
7743,6663234,MC2-Microïds
18558,6663235,Spike ChunSoft
8259,6663261,Cyanide Studios
15862,6663266,Ratloop
5312,6663273,Sega AM1
29239,6663274,General Arcade
16077,6663276,Insomniac
922,6663311,Tripwire Interactive
72228,6663351,Team GrisGris
33048,6663357,Torn Banner Studios
32814,6663358,Fatshark
3752,6663369,Legend Entertainment
16482,6663375,Bossa Studios
29289,6663376,Machinegames
8107,6663400,Overkill Software
33872,6663435,Undead Labs
16728,6663449,Respawn Entertainment
626,6663491,2K Marin
17038,6663530,Deep Shadows
16342,6663541,Old School Games
8914,6663547,Running With Scissors
809,6663556,Project Siren
5276,6663570,Flying Wild Hog
417,6663577,Reloaded Productions
76322,6663581,Red Barrels
17303,6663598,ZootFly
33873,6663602,CI Games
17392,6663624,369 Interactive
23648,6663644,Konami Digital Entertainment
8881,6663664,Xatrix Entertainment
17627,6663665,Hipnotic Interactive
68288,6663677,Abstraction Games
122273,6663703,3909
26638,6663763,Saibot Studios
88913,6663788,Tango gameworks
27778,6663836,Centauri Production
18830,6663914,Guerrilla Cambridge
40,6663916,Konami Computer Entertainment Japan
3729,6663935,Capcom Production Studio 1
18961,6663949,Heavy Spectrum
10803,6664000,Cyberlore Studios
19193,6664014,Sony Computer Entertainment America
3758,6664114,Hand Made Software
12474,6664160,DreamCatcher Interactive
7845,6664173,Turtle Rock Studios
5754,6664175,Barking Dog Studios
16305,6664182,Velez & Dubail
6601,6664188,DREAM ON STUDIO
73689,6664191,Koei Tecmo Games
117825,6664221,C's Ware
113105,6664254,Ska Studios
2488,6664339,Sledgehammer Games
16544,6664444,Acclaim Studios Manchester
21700,6664458,stage-nana
91500,6664513,New World Interactive
54355,6664579,Free Lives
22294,6664597,The Astronauts
16395,6664602,5pb.
3587,6664681,3D Realms Entertainment
22775,6664722,Warner Bros. Interactive Entertainment
9650,6664746,Atod
115178,6664804,Cyanide Studio
23269,6664807,Genterprise
90111,6664809,Turmoil Games
9467,6664810,Coyote Developments
72656,6664827,Mimimi Productions
23603,6664870,War Drum Studios
11984,6664955,TBC
24231,6664970,Digital Confectioners
6477,6665013,Code Mystics
23,6665028,SCE Santa Monica Studio
24931,6665090,Click Entertainment
4664,6665091,Sega of America
9696,6665096,Tragnarion Studios
7750,6665112,K2 (Japan)
16019,6665131,Demiurge Studios
89159,6665182,Ubisoft San Francisco
3921,6665247,Stalker Entertainment
34003,6665302,Santa Monica Studio
15569,6665321,Valhalla Game Studio
8835,6665334,Creature Labs
17903,6665336,Creative Reality
73995,6665502,Alice Soft
11274,6665558,Kronos Digital Entertainment
87282,6665591,Deck13 Interactive
15781,6665607,Teyon
119171,6665752,Winged Cloud
30607,6665793,Nitroplus
15818,6665830,Cavia Inc.
6347,6665897,Psyonix
34434,6666044,Straight Right
8103,6666103,KTX Software
44102,6666194,Fujicom
14285,6666202,Activision Publishing
31870,6666203,Critical Force Entertainment
6909,6666233,AKI
32181,6666264,The Coalition
33408,6666499,Spilt Milk Studios
12169,6666599,Bluepoint Games
117898,6666606,MidBoss
33933,6666626,Offworld industries
34325,6666700,Lockwood Publishing
34792,6666773,BaseSon
73100,6666811,THE BROTHERHOOD
56291,6667108,Hangar 13
5198,6667140,FASA Studio
10,6667168,2K Australia
57704,6667169,Blind Squirrel
10,6667172,2K Boston
59025,6667217,Question
17769,6667224,Crate Entertainment
4206,6667260,Ubi Soft Milan
11484,6667283,Nerve Software
7730,6667426,Digital Mayhem
112431,6667643,Pinokl Games
117896,6667697,Ink Stains Games
850,6667719,Namco Bandai Games
3953,6667789,Nightdive Studios
12866,6667798,Comcept
9503,6667914,Devil's Details
71456,6667976,Le Cartel Studio
16450,6668108,ZeniMax Online Studios
72853,6668230,NoWay Studio
13368,6668302,Design Factory
118188,6668447,Warm Lamp Games
9573,6668542,BlueEagle Productions
5799,6668667,Rockstar Vienna
50068,6668686,Chime
16194,6668802,GameCO Studios
7351,6668865,H.I.C.
116017,6668968,Blue Manchu
7398,6669014,Propaganda Games
95490,6669019,SureAI
118485,6669160,Blue Wizard Digital
11,6669167,Electronic Arts Redwood Shores Studio
78335,6669229,Gargoyle Mechanics
78632,6669264,Badfly Interactive
7322,6669334,Ubisoft Annecy
79071,6669337,CtrlMovie
891,6669371,Eidos Montréal
117541,6669438,Expansive Worlds
80222,6669614,The Deep End Games
4542,66610073,Team Silent
12474,66610218,Index+
104432,66610608,RedBedlam
72891,66610690,Phosphor Games
17105,66610725,Bend Studio
115348,66610816,Neko Climax Studios
240,66610852,Iguana UK
2770,66610891,Raster Productions
86261,66611184,Deck Nine
5582,66611252,SCE Studio Cambridge
11943,66611679,Tecmo Koei
11218,66611698,Hardlight
527,66611894,HexaDrive
5163,66611949,Climax Solent
118000,66612139,Gunfire Games
5844,66612147,Gray Matter Interactive Studios
23030,66612416,Infinitap Games
40443,66612557,Wraith Corporation
13191,66612806,Acclaim Studios Teesside
3602,66612815,Tigon Studios
14131,66612958,Tycoon
404,66612969,Tremor Entertainment
7722,66612992,HIP Games
93917,66613294,VCA Interactive
8125,66613910,DiezelPower
6319,66613940,Mercury Steam Entertainment
124822,66614023,Painted Black Games
31868,66614051,Ideaworks Game Studio
97779,66614086,Balcony Team
9858,66614173,Ikusabune Inc.
805,66614250,Blue Omega Entertainment
8087,66614283,Innerloop Studios
115632,66614363,Nine Dots Studio
8076,66614845,Capcom Game Studio Vancouver
53510,66614952,Weappy Studio
101756,66615002,Inscape
12963,66615163,Rebellion Derby
33265,66615174,Crispy's!
8523,66615187,Guildford Studio
3332,66615435,Climax London
103888,66615447,Plastic Reality Technologies
109852,66615740,Toadman Interactive
106195,66615940,RYM GAMES
13895,66616057,Virgin Interactive Entertainment
11156,66616060,Möbius Entertainment
12705,66617227,Crowbar Collective
110153,66617236,D'Avekki Studios Ltd
112431,66620686,Kverta
112524,66620693,Honey Parade Games
77002,66620762,Tantalus Entertainment
112935,66620909,Oscar Brittain
113176,66621074,Beautiful Glitch
11812,66622494,Saber Interactive Russia
16483,66623833,Machine Games
118382,66623937,Bloober Team SA
11023,66624068,Frogwares Game Development Studio
118973,66624340,Illusion
119300,66624508,Invader Studios
119355,66624533,Studio Gamaii
72754,66624559,Frontwing
122582,66626415,WMY Studio
12207,66627419,BioWare Edmonton
124847,66627507,Tendogames
5166,66627915,Sony Bend
16404,66628167,The Climax Group
13239,66629901,Sierra Northwest
3779,66630140,Reactor Zero
16612,66630264,WZOGI
16525,66630308,EA Digital Illusions CE AB
11068,66630476,Triptych Games
5191,66630853,Homegrown Games
22009,66631534,Ubisoft Eood
16414,66632097,Project Venus
7843,66633673,EA Digital Illusions
4585,66633822,Logicware
3989,66633928,Ubisoft Paris Studios
15774,66634124,Lexis Numérique
3475,66634796,Eurocom Developments
12107,66635434,Entersphere
8704,66635805,38 Studios
15879,66636222,Vatra Games
8526,66636233,Index
12986,66636480,Electronic Arts Chicago
70,66637750,Funcom Oslo
13969,66638434,The Mauretania Import Export Company
6601,66638457,DreamOn Studio
12444,66638622,Climax LA
20356,66640047,Wanadoo Edition
13499,66640602,WorkJam
94803,66640862,Kuju London
33405,66641334,caiys
3949,66641538,Rockstar Canada
6319,66641981,Alchemic Productions
32046,66642884,Unbisoft Annecy
33051,66642946,House Marque
11302,66643289,Konami Computer Entertainment Chicago
13140,66643290,Konami Computer Entertainment Sapporo
5612,66643443,Midway Studios Austin
12156,66643529,Pluto 13
2603,66643674,Feral Interactive (Mac)
2402,66643688,Rockstar North / Toronto
108,66643691,Feral Interactive (Mac/Linux)
12772,66643694,Ubisoft  Shanghaï
972,66643710,Codemasters Action Studio
10401,66643718,Bigmoon Studios
2603,66643744,Eidos-Montréal
2603,66643745,Nixxes
8968,66643752,Med-Art
11185,66643764,S.L.
4186,66643775,and Ubisoft Shanghai
12632,66643831,Trilobyte Games
68288,66643940,Spike Chunsoft Co.
73487,66644067,Behaviour Interactive Inc.
117548,66644480,APLUS Co.
105425,66644539,Imaginati Studios
11073,66644579,Blind Squirrel Games
914,66644629,T3Entertainment
76968,66644672,Milan Toth
14053,66645012,Fire Falcom
7322,66645040,Ubisoft Studios
16229,66645062,KaiPrime
34457,66645118,Odium team
90687,66645295,League of Sweat
8049,66645442,Silicon Ice Development
8049,66645443,FrozenSand
7324,66645625,Midway Studios -- Chicago
40751,66645946,Dreadlocks
8115,66645948,Dark Energy Digital
858,66645954,Bungie Software Products
10573,66645967,WizardWorks Group
12475,66646060,Deep Space
850,66646122,Namco Bandai Games America
8108,66647022,Trashmasters
86,66647239,Ready at Dawn Studios
15239,66647393,G&D
121258,66647589,Rockstar New England
14429,66647593,Playlogic Game Factory
116503,66648085,GUILD STUDIO
17459,66648156,Black Lion Studios
4978,66648590,Io-Interactive
8154,66649010,Black Element
2468,66649023,Spicy Horse Games
5255,66649394,Apogee Entertainment
4036,66650195,TEST DEVELOPER
3603,66650333,Starbreeze Studios and Tigon Studios
90065,66650879,Tequila Works / Abstraction Games
24481,66650952,Deep Silver Volition / High Voltage Software
755,66650981,RavenSoft / id Software
29318,66656909,Mercenary Technology
12155,66657120,Darkside Game Studios
7866,66657124,Electronic Arts DICE
5132,66657504,Midway Studios Los Angeles
121258,66657676,Rockstar Interactive India
13479,66657702,Tranji Studios
85,66657778,SCE Studio Santa Monica
5647,66657793,Hwy1 Productions
